id,post_date,created_at,uploaded_at,music_file,background,title,description,tags,text1,text2,text3,text4,text5,text6
1,2023-01-01,2023-01-01 15:02:00,2023-01-01 15:39:00,blade_runner_synth.mp3,https://www.pexels.com/video/a-sunset-time-lapse-8035714/,Fun facts you need to know #facts #shorts,Comment which one is your favorite.,"facts, crazy, cool, funny",Crazy facts you need to know (part 1),Potato chips cause more weight gain than any other food,Our brains make up on average 2% of our body weight but consume 20% of our caloric intake,"If a bee consumes alcohol and gets drunk, he won’t be let back into the hive until he's sober.",,
2,2023-01-02,2023-01-02 14:54:00,2023-01-02 14:58:00,blade_runner_synth.mp3,https://www.pexels.com/video/top-view-of-sea-waves-crashing-on-seashore-6775423/,Fun facts you need to know (part 2) #facts #shorts,Comment which one is your favorite.,"facts, fun, knowledge, funny",Crazy facts you need to know (part 2),"If you sneeze too hard, you could fracture a rib.",Wearing headphones for just an hour could increase the bacteria in your ear by 700 times.,"In the course of an average lifetime, while sleeping you might eat around 70 assorted insects and 10 spiders, or more.",,
3,2023-01-02,2023-01-02 14:58:00,2023-01-02 14:58:00,blade_runner_synth.mp3,https://www.pexels.com/video/a-sunset-time-lapse-8035714/,Fun facts you need to know #facts #shorts #funny,Comment which one is your favorite.,"facts, crazy, fun, funny, knowledge",Fun facts you need to know (part 1),Potato chips cause more weight gain than any other food,Our brains make up on average 2% of our body weight but consume 20% of our caloric intake,"If a bee consumes alcohol and gets drunk, he won’t be let back into the hive until he's sober.",,
4,2023-01-03,2023-01-03 17:32:00,2023-01-03 17:36:00,blade_runner_synth.mp3,https://www.pexels.com/video/aerial-footage-of-the-palace-of-culture-and-science-building-in-warsaw-poland-7312218/,Crazy facts about your body (Part 1) #facts #shorts #funny #tiktok,Comment which one is your favorite.,"facts, crazy, fun, funny, knowledge",Mind-blowing facts about the human body (part 1),"When you cry and your nose becomes runny, it’s actually your tears.",Your brain blocks you from feeling your organs moving around inside you.,Your body can randomly decide to become allergic to anything edible at any time.,,
5,2023-01-04,2023-01-03 17:35:00,2023-01-03 17:36:00,blade_runner_synth.mp3,https://www.pexels.com/video/drone-footage-of-a-desert-sand-dune-3059046/,Fun facts you need to know (part 3) #facts #shorts #foryou #funny,Comment which one is your favorite.,"facts, crazy, fun, funny, knowledge",Fun facts you need to know (part 3),The United States has lost 6 nuclear weapons over the past century.,"Making your bed everyday exposes bed mites to fresh air, which makes them flourish.","When a person receives a kidney transplant, they don’t take out the old kidneys. They shove them to the side and leave",,
6,2023-01-04,2023-01-05 00:35:00,2023-01-03 17:36:01,paris.mp3,https://www.pexels.com/video/video-of-cascading-waterfall-8859849/,Crazy facts you need to know #facts #shorts #foryou #crazy,Comment which one is your favorite.,"facts, crazy, fun, funny, knowledge",Crazy facts you need to know (part 3),"If a Polar Bear and a Grizzly Bear mate, their offspring is called a “Pizzly Bear.”",The only letter that doesn’t appear on the periodic table is J.,"There were two AI chatbots created by Facebook to talk to each other, but they were shut down after they started communicating in a language they made for themselves.",,
7,2023-01-05,2023-01-05 00:41:00,2023-01-05 00:59:00,paris_drill_trimmed.mp3,https://www.pexels.com/video/aerial-footage-of-the-palace-of-culture-and-science-building-in-warsaw-poland-7312218/,Fun facts you need to know (part 2) #facts #shorts,Comment which one is your favorite.,"facts, fun, knowledge, funny",Crazy facts you need to know (part 2),"If you sneeze too hard, you could fracture a rib.",Wearing headphones for just an hour could increase the bacteria in your ear by 700 times.,"In the course of an average lifetime, while sleeping you might eat around 70 assorted insects and 10 spiders, or more.",,
8,2023-01-06,2023-01-06 18:49:00,2023-01-06 18:50:00,paris.mp3,https://www.pexels.com/video/footage-of-a-mountain-road-by-the-coast-7046601/,Fun facts you need to know (Part 4) 🤯 #facts #shorts #foryou #funny,Comment which one is your favorite.,"facts, fun, knowledge, funny",Fun facts you should know (part 4),Your dog estimates the time of your return home by how much of your smell is left in the house.,"Two hundred years ago, over 80% of the world lived in poverty. Today it is 20%.","At birth, a baby panda is smaller than a mouse.",The ozone layer is slowly repairing itself.,
9,2023-01-07,2023-01-06 18:35:00,2023-01-06 18:35:00,paris.mp3,https://www.pexels.com/video/aerial-footage-of-a-mountain-landscape-12144105/,Unfun facts you should know (Part 1) 😳 #facts #shorts #scary #foryou,Comment which one is your favorite.,"facts, unfun, knowledge, scary",Scary facts you should probably know,"When it comes to heart disease, the VERY FIRST symptom in 1/3 cases is sudden death.","Some old whales no longer have the strength to swim for as long, so they dive too deep and drown by accident.","There's an Australian Plant called the Gympie Gympie that has tiny needle-like hairs all over it. Whenever a person touches it, the hairs inject a toxin that causes pain comparable to being set on fire.",,
10,2023-01-08,2023-01-08 14:58:00,2023-01-08 17:24:00,paris.mp3,string_press.mp4,Crazy facts you should know 😱 #facts #shorts #foryou,Comment which one is your favorite. #shorts,"facts, crazy, fun, funny, knowledge",Crazy facts you should know (part 4),The tongue is the only muscle in one’s body that is attached from one end.,"There is a company in Japan that has schools that teach you how to be funny. The first one opened in 1982. About 1,000 students take the course each year.",The Lego Group is the world’s most powerful brand. There are more Lego Minifigures than there are people on Earth.,,
